LanguagePack en-US|Translation
detail.acrisProductLinkTabLabel|Links
detail.acrisProductLinkTitle|Links
detail.buyOnline|Buy online
detail.cadService.downloadBtn|Download
detail.cadService.fileFormatPdf|PDF
detail.cadService.fileFormatplaceholder|File type
detail.cadService.fileFormatStep|STEP-2.14
detail.cadService.headline|You can download construction data for This product in different format
detail.cadService.login|"Please <a href=""%url%"">Login</a> to see the CAD Files"
detail.cadService.title|CAD Service
detail.contactText|"Haven’t found the right product yet, have special requirements or are you interested in individual solutions? <a href=""%url%"" title=""Kontaktformular"">Contact us</a>."
detail.ean|EAN
detail.orderNumber|Product number
detail.orText|Or
detail.performance.atrittion|Atrittion
detail.performance.movement|Movement noise
detail.performance.resistance|Corrosion resistance
detail.performance.roll|Roll performance
detail.priceOnRequestText|per piece plus VAT<br />In 24 hours ready for shipping
detail.priceOnRequestTitle|Price on request
detail.properties.fitting|Technical Data Fitting
detail.properties.housing|Technical Data Housing
detail.properties.label.downloads|Downloads
detail.properties.label.feature|Product Features
detail.properties.label.fitting|Fitting
detail.properties.label.housing|Housing
detail.properties.label.performance|Performance
detail.properties.label.wheel|Wheel
detail.properties.performance|Performance
detail.properties.wheel|Technical Data Wheel
detail.qte|Quantity
detail.reviewFormContentPlaceholder|Enter your review...
detail.sendQuoteRequest|Send Quote Request
detail.tabs.downloads|Downloads
detail.tabs.features|Features
detail.tabs.performance|Performance
error.CHECKOUT__CART_INVALID_LINE_ITEM_QUANTITY|The quantity (%quantity%) is incorrect.
error.CHECKOUT__ORDER_ORDER_ALREADY_PAID|"The order with the order number ""%orderNumber%"" was already paid and cannot be edited afterwards."
error.CHECKOUT__ORDER_ORDER_NOT_FOUND|This order could not be found.
error.merchant-not-selected|Please chose your local merchant to proceed the checkout.
error.VIOLATION::ZIP_CODE_INVALID|The postal code you have entered does not have the correct format.
footer.excludeVatText|"* All prices excl. VAT plus <a data-ajax-modal=""true"" href=""%url%"" data-url=""%url%"">shipping costs</a> and possible delivery charges, if not stated otherwise."
footer.includeVatText|"* All prices incl. VAT plus <a data-ajax-modal=""true"" href=""%url%"" data-url=""%url%"">shipping costs</a> and possible delivery charges, if not stated otherwise."
footer.serviceContactText|"Or via our <a data-ajax-modal=""true"" data-url=""%url%"" href=""%url%"" title=""Contact form"">contact form</a>."
footer.socialMediaHeadline|Social
general.contactUs|Contact us
general.contactUsLink|/contact
general.loginRegister|Login / Register
general.privacyNoticeText|"By subscribing to the newsletter you accept our <a data-ajax-modal=""true"" data-url=""%privacyUrl%"" href=""%privacyUrl%"" title=""Privacy policy"">privacy policy</a> as well as our <a data-ajax-modal=""true"" data-url=""%tosUrl%"" href=""%tosUrl%"" title=""terms and conditions"">terms and conditions</a>."
global.default.activate|Activate
global.default.cancel|Cancel
global.default.confirm|Confirm
global.default.deactivate|Deactivate
global.default.delete|Delete
global.default.edit|Edit
global.default.noteRequiredFields|Fields marked with asterisks (*) are required.
global.default.save|Save
listing.downloadText|Download
moorl-creator.aboutTheCreator|About the creator
moorl-creator.aboutTheCreators|About the creators
moorl-creator.creator|Creator
moorl-creator.creators|Creators
moorl-creator.donate|Donate
moorl-creator.follow|Follow
moorl-creator.link|Homepage
moorl-creator.productsOf|Products of
moorl-creator.readMore|Read more...
moorl-foundation.buttons.acceptCookie|Accept cookie
moorl-foundation.buttons.addMerchantButtonText|New merchant
moorl-foundation.buttons.administrationButtonText|Administration
moorl-foundation.buttons.cancelButtonText|Cancel
moorl-foundation.buttons.exportButtonText|Export CSV
moorl-foundation.buttons.exportButtonTitle|Download your CSV
moorl-foundation.buttons.getLocButtonText|Get positions by OpenStreetMap
moorl-foundation.buttons.importButtonText|Import CSV
moorl-foundation.buttons.importButtonTitle|Upload your CSV
moorl-foundation.buttons.mediaFolder|Save images in this folder
moorl-foundation.buttons.newButtonText|New
moorl-foundation.buttons.openMapButtonText|Open Map
moorl-foundation.buttons.openNewWindowButtonText|Open in new window
moorl-foundation.buttons.overwriteText|Overwrite existing datarows (originId need to be set).
moorl-foundation.buttons.placeIdLink|Plan route
moorl-foundation.buttons.refreshButtonText|Reload
moorl-foundation.buttons.saveButtonText|Save
moorl-foundation.buttons.selectLocButtonText|Chose
moorl-foundation.buttons.startImportButtonText|Start import
moorl-foundation.card.address|Address
moorl-foundation.card.company|Company
moorl-foundation.card.contact|Contact
moorl-foundation.card.legend|Legend
moorl-foundation.card.openingHours|Opening hours
moorl-foundation.card.person|Contact person
moorl-foundation.customerUpload.checkToDelete|Check to delete
moorl-foundation.customerUpload.dictDefaultMessage|Drag files here to upload
moorl-foundation.customerUpload.useAsCover|Use as cover
moorl-foundation.days.closed|Closed
moorl-foundation.days.friday|Friday
moorl-foundation.days.monday|Monday
moorl-foundation.days.saturday|Saturday
moorl-foundation.days.sunday|Sunday
moorl-foundation.days.thursday|Thursday
moorl-foundation.days.today|Today
moorl-foundation.days.tuesday|Tuesday
moorl-foundation.days.wednesday|Wednesday
moorl-foundation.general.selectedItems|Selected items
moorl-foundation.general.share|Share
moorl-foundation.general.subTotal|Subtotal
moorl-foundation.general.toc|Table of contents
moorl-foundation.label.accountCard|Account
moorl-foundation.label.addressCard|Address
moorl-foundation.label.generalCard|General
moorl-foundation.label.locationCard|Location
moorl-foundation.label.markerCard|Marker
moorl-foundation.label.metaCard|Meta
moorl-foundation.label.relationsCard|Relations and Filters
moorl-foundation.label.visibilityCard|Visibility
moorl-foundation.listing.filter.categories|Categories
moorl-foundation.listing.filter.country|Country
moorl-foundation.listing.filter.distance|Distance
moorl-foundation.listing.filter.firstChar|Index
moorl-foundation.listing.filter.inRadiusOf|in radius of
moorl-foundation.listing.filter.km|KM
moorl-foundation.listing.filter.mi|MI
moorl-foundation.listing.filter.myLocation|Use my location
moorl-foundation.listing.filter.navigation|Categories
moorl-foundation.listing.filter.radius|Search postcode
moorl-foundation.listing.filter.search|Search text
moorl-foundation.listing.filter.tags|Tags
moorl-foundation.listing.filter.zipcodeCity|Postcode / City
moorl-foundation.properties.active|Active
moorl-foundation.properties.additionalAddressLine1|Address line 1
moorl-foundation.properties.additionalAddressLine2|Address line 2
moorl-foundation.properties.articles|Articles
moorl-foundation.properties.author|Author
moorl-foundation.properties.categories|Categories
moorl-foundation.properties.city|City
moorl-foundation.properties.closed|Closed
moorl-foundation.properties.cmsPage|CMS page
moorl-foundation.properties.cmsPageId|CMS page ID
moorl-foundation.properties.company|Company
moorl-foundation.properties.content|Content
moorl-foundation.properties.country|Country
moorl-foundation.properties.countryCode|Country code
moorl-foundation.properties.countryId|Country
moorl-foundation.properties.createdAt|Created at
moorl-foundation.properties.customerGroupId|Customer group
moorl-foundation.properties.customerNumber|Customer number
moorl-foundation.properties.date|Date
moorl-foundation.properties.department|Department
moorl-foundation.properties.description|Description
moorl-foundation.properties.distance|Distance
moorl-foundation.properties.email|E-Mail
moorl-foundation.properties.enableComments|Enable comments
moorl-foundation.properties.firstName|Firstname
moorl-foundation.properties.from|From
moorl-foundation.properties.highlight|Highlight
moorl-foundation.properties.image|Article
moorl-foundation.properties.info|Info
moorl-foundation.properties.inRadiusOf|in radius of
moorl-foundation.properties.invisible|Invisible
moorl-foundation.properties.km|KM
moorl-foundation.properties.lastName|Lastname
moorl-foundation.properties.location|Position
moorl-foundation.properties.locationLat|Latitude
moorl-foundation.properties.locationLon|Longitude
moorl-foundation.properties.locked|Locked
moorl-foundation.properties.logo|Logo
moorl-foundation.properties.marker|Marker
moorl-foundation.properties.markerId|Marker
moorl-foundation.properties.markerSettings|Marker Settings
moorl-foundation.properties.markerSettingsExample|You can copy this example to adjust your custom marker settings.
moorl-foundation.properties.markerSettingsLink|Leaflet custom marker example
moorl-foundation.properties.markerShadow|Marker shadow
moorl-foundation.properties.markerShadowId|Marker Shadow
moorl-foundation.properties.media|Media
moorl-foundation.properties.mediaId|Media ID
moorl-foundation.properties.merchant|Merchant
moorl-foundation.properties.merchantUrl|Merchant URL
moorl-foundation.properties.metaDescription|Meta description
moorl-foundation.properties.metaTitle|Meta title
moorl-foundation.properties.name|Name
moorl-foundation.properties.openingHours|Opening hours
moorl-foundation.properties.originId|Origin ID
moorl-foundation.properties.phoneNumber|Phone
moorl-foundation.properties.priority|Priority
moorl-foundation.properties.productManufacturers|Manufacturer IDs
moorl-foundation.properties.products|Products
moorl-foundation.properties.radius|Radius
moorl-foundation.properties.repeat|Repeat
moorl-foundation.properties.salesChannel|Sales channel
moorl-foundation.properties.salesChannelId|Sales channel
moorl-foundation.properties.search|Search
moorl-foundation.properties.shopUrl|Shop URL
moorl-foundation.properties.showFrom|Show from
moorl-foundation.properties.showUntil|Show until
moorl-foundation.properties.slug|Slug
moorl-foundation.properties.sticky|Sticky
moorl-foundation.properties.street|Street
moorl-foundation.properties.streetNumber|Number
moorl-foundation.properties.tags|Tag Names/IDs
moorl-foundation.properties.teaser|Teaser
moorl-foundation.properties.title|Title
moorl-foundation.properties.until|Until
moorl-foundation.properties.updatedAt|Updated at
moorl-foundation.properties.vatId|VAT-ID
moorl-foundation.properties.zipcode|Zipcode
moorl-foundation.search.headline|"{0} No matches for ""%searchTerm%"" | {1} One match for ""%searchTerm%"" | ]1,Inf[ %count% matches for ""%searchTerm%"""
moorl-foundation.search.missingConfiguration|Missing configuration for this listing!
moorl-foundation.search.moreButton|More
moorl-foundation.search.noListingSlotFound|"This page do not have a listing element. Check your listing settings and chose ""Automatic items"""
moorl-foundation.search.notAvailable|Not available
moorl-foundation.search.product|Products
moorl-location-map.cookieDescription|We use OpenStreetMap as tile provider to show you visually the location of our stores and merchants.
moorl-location-map.cookieHint|Please accept the cookie to use the desired function.
moorl-location-map.cookieName|Location maps
moorl-magazine.articles|Blog articles
moorl-magazine.author|Author
moorl-magazine.authors|Authors
moorl-magazine.back|Back
moorl-magazine.backToOverview|Back to overview
moorl-magazine.categories|Categories
moorl-magazine.categoryAll|All categories
moorl-magazine.commentArea|Comment area
moorl-magazine.commentAreaDisabled|Comments are disabled for this article
moorl-magazine.commentError|Please make sure u have filled all fields correctly
moorl-magazine.commentReview|Your comment will be released after review.
moorl-magazine.commentSuccess|Thank you for your comment!
moorl-magazine.date|Date
moorl-magazine.dateFormat|F jS \a\t g:ia
moorl-magazine.email|E-Mail
moorl-magazine.emailPlaceholder|Enter your E-Mail address
moorl-magazine.name|Name
moorl-magazine.namePlaceholder|Enter your name
moorl-magazine.next|Next
moorl-magazine.page|Page
